date,Rm-Rf,SMB,HML,RMW,CMA,Rf,Mom,ST_Rev,LT_Rev,Rp_ew_cc
23/05/2000,-2.38,-0.41,1.56,1.87,0.85,0.023,-1.97,-1.11,-0.33,0.004018027
24/05/2000,1.55,-1.68,-1.26,0.65,-1.05,0.023,-0.31,0.53,-1.42,0.004307112
25/05/2000,-1.29,0.35,0.21,-0.05,-0.05,0.023,-0.16,0.39,0.42,0.001948742
26/05/2000,-0.18,0.16,0.28,0.08,-0.08,0.023,-0.46,-0.35,0.31,-0.005332071
30/05/2000,3.82,0.28,-2.8,-2.1,-1.38,0.023,3.37,4.51,0.39,0.010848908
31/05/2000,-0.22,0.23,0.62,-0.19,0.54,0.023,0.11,-0.63,0.14,-0.000460357
1/6/2000,2.5,0.53,-1.91,-1.55,-0.83,0.018,1.77,3.16,0.95,0.002996973
2/6/2000,2.91,1.35,-3.07,-2.28,-1.49,0.018,2.21,3.95,0.45,0.021737074
5/6/2000,-0.37,1.28,-1.04,-1.16,0.52,0.018,1.02,1.92,1.09,-0.00371396
6/6/2000,-0.87,0.74,0.58,-0.44,0.9,0.018,0.11,0.85,-0.03,-0.007998551
7/6/2000,1.16,0.03,-0.9,-0.55,-0.82,0.018,0.3,0.35,-0.91,-0.006322729
8/6/2000,-0.6,0.59,0.26,-0.3,-0.1,0.018,1.3,0.07,0.73,-0.005240685
9/6/2000,0.04,1.67,-0.18,-1.43,0.45,0.018,0.91,-0.3,0.79,-0.004201257
12/6/2000,-1.19,-0.71,1.7,0.7,0.78,0.018,-0.79,0.32,-0.04,0.003060164
13/06/2000,1.45,-0.52,-1.02,0.61,-0.83,0.018,1.19,0.11,-0.47,-0.011942243
14/06/2000,-0.16,-0.17,0.12,0.97,0.04,0.018,-0.03,0.88,-0.69,0.003682997
15/06/2000,0.5,-0.36,-0.82,-0.47,-0.4,0.018,1.09,0.23,-0.12,-0.010484556
16/06/2000,-0.74,1.01,-0.06,-0.82,0,0.018,2.06,-0.43,0.59,-0.008506326
19/06/2000,1.66,-0.06,-1.66,-0.42,-0.19,0.018,1.22,-1.29,0.16,-0.004360159
20/06/2000,-0.25,0.65,-0.46,-1.36,-0.19,0.018,0.61,-1.19,0.9,-0.004053209
21/06/2000,0.36,0.43,-0.37,-0.66,0,0.018,1.16,-0.67,0.49,0.000876591
22/06/2000,-1.88,0.04,0.83,1.15,0.02,0.018,-1.08,1.5,-0.58,0.009081445
23/06/2000,-0.99,0.18,0.86,0.41,0.96,0.018,0.47,1.28,0.39,-0.006798677
26/06/2000,0.92,1.1,-1.26,0.56,-0.98,0.018,1.09,-0.65,-0.35,-0.00215896
27/06/2000,-0.55,-0.31,0.51,0.92,-0.24,0.018,-0.59,1.17,-0.19,0.013857223
28/06/2000,0.77,1.58,-0.86,-0.72,-0.23,0.018,0.59,-0.04,-0.24,-0.00647726
29/06/2000,-0.67,0.14,0.75,0.6,1.11,0.018,0.52,-0.23,0.53,-0.000830174
30/06/2000,0.74,0.95,-1.75,-0.12,-1.49,0.018,0.38,-0.14,-0.46,-0.002360089
